 Sistema de Informação de Atenção Básica - Produção e Marcadores - Brasil
Cons.Res.ForaÁreaCons.<1 anoCons.1a4anosCons.5a9anosCons.10a14anosCons.15a19anosCons.20a39anosCons.40a49anosCons.50a59anosCons.60 e maisAtend.PuericulturaAtend.Pré-NatalAtend Prev-citologAtend.DST/AIDSAtend.DiabetesAtend.Hiper.Arter.Atend.HanseníaseAtend.TuberculoseEx.Patologia Clín.Ex.RadiodiagnósticEx.CitopatológicoEx.UltrassonografEx.OutrosEncam.Atend.Espec.Encam.Int.HospitalEncam.Urg./EmergIntern.DomiciliarAtend.Espec.AcTrabVis.Insp.SanitáriaAtend.Indiv.EnfermAtend.Ind.Prof.NS.CurativosInalaçõesInjeçõesRetirada de pontosTerap.Reid.OralSuturaAtend.GrupoProc.Coletiv(PC1)ReuniõesVisita MédicoVisita Enferm.Vis Outr.Prof.NS.Vis Prof.Niv.MédioValvul.Reum.5-14a.AVCInfartoDHEG(Forma Grave)DoençaHemol.Perin.FraturaColoFêmurMening.TuberculosaHans.Grau II e IIICit.Oncot NIC IIIPneum. <5 anos por Município
Período:2009-2011
"Município";"Cons.Res.ForaÁrea";"Cons.<1_ano";"Cons.1a4anos";"Cons.5a9anos";"Cons.10a14anos";"Cons.15a19anos";"Cons.20a39anos";"Cons.40a49anos";"Cons.50a59anos";"Cons.60_e_mais";"Atend.Puericultura";"Atend.Pré-Natal";"Atend_Prev-citolog";"Atend.DST/AIDS";"Atend.Diabetes";"Atend.Hiper.Arter.";"Atend.Hanseníase";"Atend.Tuberculose";"Ex.Patologia_Clín.";"Ex.Radiodiagnóstic";"Ex.Citopatológico";"Ex.Ultrassonograf";"Ex.Outros";"Encam.Atend.Espec.";"Encam.Int.Hospital";"Encam.Urg./Emerg";"Intern.Domiciliar";"Atend.Espec.AcTrab";"Vis.Insp.Sanitária";"Atend.Indiv.Enferm";"Atend.Ind.Prof.NS.";"Curativos";"Inalações";"Injeções";"Retirada_de_pontos";"Terap.Reid.Oral";"Sutura";"Atend.Grupo";"Proc.Coletiv(PC1)";"Reuniões";"Visita_Médico";"Visita_Enferm.";"Vis_Outr.Prof.NS.";"Vis_Prof.Niv.Médio";"Valvul.Reum.5-14a.";"AVC";"Infarto";"DHEG(Forma_Grave)";"DoençaHemol.Perin.";"FraturaColoFêmur";"Mening.Tuberculosa";"Hans.Grau_II_e_III";"Cit.Oncot_NIC_III";"Pneum._<5_anos"
"110094 Cujubim";-;1561;2735;5570;7143;23254;15435;9152;5239;2691;1113;6668;3693;319;1596;4215;324;82;4684;296;4304;3168;1514;27;-;21;-;1;-;883;6;209;110;184;118;135;214;7;-;42;-;75;-;10;-;-;-;-;-;-;-;-;-;-
"110009 Espigão D'Oeste";4;180;986;1191;1176;1163;4816;2289;2129;2490;119;694;1708;45;252;1655;23;12;10412;2118;750;592;12742;1831;36;34;20;1;81;3689;518;2221;673;2452;653;116;1;145;38;83;1184;1135;775;1109;-;12;-;-;-;1;-;1;2;-
"110100 Governador Jorge Teixeira";-;1493;3100;2810;2317;3024;7655;3835;2607;2726;2945;2610;2701;148;2175;8366;101;-;4354;455;796;826;2664;1244;1318;868;-;139;5054;6672;1882;2936;3218;18427;387;958;546;85;29;62;643;1603;258;428;-;-;-;-;-;-;-;-;-;-
"110010 Guajará-Mirim";32;1101;2192;1956;2057;2988;8483;5093;4519;6520;4107;4423;1716;401;2362;7075;249;157;41633;1206;1339;2437;18464;1887;93;49;18;97;9446;3320;1530;1579;17;2961;441;45;3;264;100;441;1542;1649;57;2038;-;2;1;-;-;-;-;-;-;-
"110110 Itapuã do Oeste";-;301;851;761;748;661;3022;1173;1055;1151;3627;2150;1476;169;714;1145;42;5;1884;83;504;151;243;170;251;513;16;-;172;13469;4358;95;201;2403;9;143;-;71;1;29;294;459;-;2509;-;-;-;-;-;-;-;-;-;-
"110011 Jaru";10155;734;3104;3484;2996;3270;13447;5740;4845;6622;1872;11602;7407;1221;5129;14947;108;67;27665;853;1085;2748;5740;2121;406;1875;4;252;41;48181;25876;7051;1746;8993;1890;152;178;481;3710;444;156;1154;123;1921;-;2;-;-;-;-;2;12;12;1
"110012 Ji-Paraná";30314;1317;5226;3441;2902;3439;13322;8949;10207;15141;10264;21486;12979;492;7969;28328;241;34;45308;1119;435;3754;6308;4135;103;748;88;50;238;55096;19701;16002;3183;6499;6862;1213;77;4900;1604;2069;5852;5534;1347;6492;-;3;6;-;-;2;16;14;14;26
"110013 Machadinho D'Oeste";11004;2152;5586;4311;3000;2034;7140;3455;3380;3804;1411;5997;5113;1674;4154;14596;667;53;33340;2280;2268;1354;4101;2060;500;133;10;74;-;13999;3946;15367;2409;7281;1850;147;176;421;1574;118;65;602;45;1394;-;-;-;-;-;-;-;-;-;-
"110120 Ministro Andreazza";43;2696;2435;2411;2232;2475;2843;2875;2860;2143;1412;4297;2778;57;2505;4091;308;61;-;-;655;82;10;-;100;1;27;-;59;1336;4283;1253;132;597;55;89;40;251;4;349;2889;2865;426;2862;-;-;-;-;-;-;-;-;-;-
"110130 Mirante da Serra";30;1589;2915;3021;2198;2087;130860;4977;3895;4018;4923;1598;1078;293;1325;3169;101;65;11173;838;810;657;3792;186;297;8;9;-;152;1509;857;70;220;213;46;92;2;148;119;278;112;1236;10;381;-;11;4;1;-;2;-;6;-;11
"110140 Monte Negro";-;10;25;25;22;33;95;36;31;66;-;23;-;-;23;112;11;-;336;-;-;10;9;23;11;-;-;-;-;523;216;450;-;2;2;-;-;12;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110014 Nova Brasilândia D'Oeste";2734;580;2107;2251;1763;2431;10793;4679;4468;3793;2952;2658;214;4;3561;10990;190;9;3764;984;115;346;1064;681;19;76;9;-;-;17122;2;2;-;-;1;-;-;21;45;135;20;485;-;12262;-;-;-;-;-;-;-;-;-;-
"110033 Nova Mamoré";12;506;1591;1480;1411;1366;6303;2565;2215;2187;102;5491;3562;393;1099;11301;1;1;736;27;-;440;2113;1011;152;208;1;-;6;19998;3852;216;145;496;14;-;15;23177;13693;371;1131;1248;3;4;-;1;-;1;-;-;-;-;-;-
"110143 Nova União";8;283;816;845;832;907;2739;1571;1301;1460;54;262;463;299;365;903;75;5;3068;622;90;82;1040;210;116;155;-;-;-;5163;6;356;147;1207;77;195;68;70;16;86;876;1056;20;949;-;3;-;-;-;-;-;1;-;2
"110050 Novo Horizonte do Oeste";136;575;1009;1017;892;1597;6660;3038;2430;3215;1382;1637;2580;276;920;5006;873;2;12815;875;1566;1237;5462;1142;727;595;8;-;75;11116;4167;10768;1007;7778;382;599;170;1123;-;215;606;621;269;1527;-;2;2;-;-;2;-;18;-;6
"110015 Ouro Preto do Oeste";13049;316;926;1051;1325;1697;6822;4514;4630;6879;1120;9557;5122;330;1923;7858;1036;140;7003;1517;418;846;1954;905;88;46;9;356;370;24668;1808;2011;448;1885;712;67;14;3560;2469;380;1694;2432;192;6202;-;5;4;1;-;2;-;14;-;9
"110145 Parecis";288;454;1621;1186;979;1645;6531;4160;2087;2252;811;1581;771;108;381;2993;122;11;1300;408;363;534;5307;51;450;395;-;-;1129;5797;6189;2693;2972;5970;259;464;243;242;67;64;134;639;5;667;-;8;3;-;-;1;-;6;-;2
"110018 Pimenta Bueno";1950;905;2464;2838;2747;3854;16754;9445;8885;14210;9907;9208;7071;361;2641;14283;64;4;11723;2131;2342;1349;5345;2386;29;2;42;-;-;43227;7177;11380;3045;2241;2808;348;-;4859;18729;551;4710;4342;122;6031;-;-;-;-;-;-;-;-;-;-
"110146 Pimenteiras do Oeste";-;95;343;236;185;228;969;443;4763;453;32;158;130;12;138;234;15;18;351;-;-;-;-;-;8;-;-;-;32;134;24;795;624;1086;68;43;29;-;-;13;1;127;-;113;-;-;-;-;-;-;-;-;-;-
"110020 Porto Velho";93202;14517;35410;32575;27106;31569;116064;59608;53272;65462;62790;68063;41720;8967;32918;88313;1374;2238;222260;26415;22157;22057;56401;29027;934;4663;1230;1441;49422;283806;201612;43198;19845;67870;14793;8300;2706;21800;93240;7045;9791;15503;4583;17654;46;53;21;37;6;20;5;75;477;90
"110025 Presidente Médici";-;1506;3746;3534;2789;3066;14685;7297;7217;9738;16078;3909;5691;525;3602;15861;339;110;4378;1511;1342;729;1586;899;146;58;3;889;323;55500;11287;4231;2491;16339;875;798;298;5233;15345;1029;7668;9202;845;9619;-;4;2;-;-;1;1;2;1;-
"110147 Primavera de Rondônia";3660;266;590;606;536;564;2636;1201;1018;1257;737;882;866;85;742;1360;17;1;492;69;8;150;9;207;114;63;2;-;-;5207;964;2295;1828;3530;1123;112;84;911;7480;62;110;610;185;916;-;3;3;1;1;3;-;-;-;9
"110026 Rio Crespo";265;307;1059;1001;853;969;3462;1736;1277;1525;989;754;638;93;582;3017;37;8;6604;263;276;329;613;554;298;482;9;56;161;2121;1357;2085;1588;8270;200;238;230;55;258;80;43;131;-;3;-;-;-;-;-;-;-;-;-;-
"110028 Rolim de Moura";2187;1503;3604;3855;3554;5420;19791;10324;10105;17721;4093;12104;10988;182;4194;16034;2749;269;17738;2245;3221;3843;19996;5719;744;893;67;89;1371;46011;7131;27123;3511;11389;4368;171;299;5613;6252;1264;3861;3896;44;10117;-;8;5;-;-;1;-;41;3;3
"110029 Santa Luzia D'Oeste";-;94;293;347;517;984;3271;1747;1411;1586;550;2401;4887;573;695;1142;390;118;985;16;271;1021;1147;94;14;41;-;8;-;6164;2017;452;195;107;37;295;47;2037;4;364;1126;1665;169;3987;-;-;1;-;-;-;-;-;-;-
"110148 São Felipe D'Oeste";2627;1559;1869;2879;2778;2825;14137;6662;6790;7823;85;1236;2598;3205;1277;14806;81;37;7210;238;152;194;9334;11451;480;76;361;68985;-;29583;21646;7997;4299;53432;500;336;242;694;121;8;161;432;406;269;-;-;-;-;-;-;-;-;-;-
"110149 São Francisco do Guaporé";5;493;947;1142;1429;2065;6136;4211;3313;2538;348;5770;2717;338;3527;11231;251;55;7584;363;658;1710;2104;663;3;11;3;4;1444;6091;4660;298;81;567;30;110;7;449;397;230;961;1470;817;2299;-;1;-;2;-;-;-;-;-;-
"110032 São Miguel do Guaporé";733;8096;8593;9620;8626;11587;26398;17027;15754;16815;5930;14250;9632;121;3114;12710;1104;271;17165;5536;3225;8374;81233;4573;2183;810;197;1244;9174;31283;50039;8436;3528;11739;2297;601;1227;541;381;915;143;1598;2;32;-;-;-;-;-;-;-;-;-;-
"110150 Seringueiras";-;193;482;412;224;230;1036;381;338;249;427;3743;4734;24;3316;12263;213;53;27802;2519;319;1405;3585;465;788;22;-;387;133;8302;235;6324;2342;38233;1828;432;2466;115;102;139;266;2383;96;3181;-;-;-;-;-;1;-;7;4;2
"110155 Teixeirópolis";4;64;253;353;217;318;867;1242;1502;4171;1348;2077;2194;21;2589;11873;250;25;976;59;35;6;115;239;11;3;3;-;-;4046;10737;1045;29;583;13;-;2;598;981;127;1882;2048;91;3643;-;-;-;-;-;3;-;-;-;-
"110160 Theobroma";16;441;1314;1237;1109;966;5302;2045;2315;2309;1549;1641;1071;256;1127;3279;18;90;5289;853;737;715;671;508;250;144;4;103;138;7825;319;1745;886;8458;452;171;272;101;820;159;52;220;8;464;-;3;-;2;-;-;-;-;-;10
"110170 Urupá";2761;642;974;1023;1077;1170;2634;2305;2295;2244;2235;3590;1914;2582;2162;9007;458;106;641;416;304;779;3070;81;126;79;3;10;67;5922;916;643;336;1147;223;453;120;115;29015;142;105;1424;23;450;-;-;-;-;-;-;-;-;-;-
"110175 Vale do Anari";-;745;2605;2374;2038;2372;8318;3490;3332;3712;3809;2748;974;1932;2008;7437;129;44;-;24;179;245;78;51;23;33;-;-;756;6590;28;1374;851;12725;883;108;651;202;-;260;25;2186;-;2061;-;-;-;-;-;-;-;-;-;-
"110180 Vale do Paraíso";-;13;24;22;14;19;27;15;12;18;928;1311;1538;654;3402;11652;137;23;415;50;721;898;7230;-;154;-;-;-;264;21191;-;870;668;1506;327;349;1;890;501;378;-;13385;98;10741;-;32;4;-;-;1;-;-;-;2
"110030 Vilhena";3277;7232;13947;11447;11108;13946;41128;24430;21833;24945;23949;262074;10955;2247;13161;37585;262;76;37542;9403;106756;8242;14005;6643;736;1120;3;21;2876;574891;41077;19818;5343;3856;5795;300;38;1567;5504;1481;2540;4288;399;3602;6;5;3;31;2;2;2;11;21;28
"120001 Acrelândia";2435;1732;4400;4149;3557;3306;9563;4467;3880;3923;900;4194;4383;403;1278;8447;134;27;438;115;733;1767;441;713;179;228;5;18;99;14491;11427;1654;1700;1411;675;14214;132;211;258;659;2416;3079;1169;1337;-;1;2;4;-;-;-;3;1;2
"120005 Assis Brasil";2041;1203;4131;3197;2656;2127;8163;2390;1864;1633;615;2647;1908;884;341;1931;53;46;3905;122;324;658;1221;601;66;51;8;2;30;7201;9349;471;1926;4208;21;466;3;213;757;126;1065;1126;19;1041;-;-;-;-;-;1;-;8;1;7
"120010 Brasiléia";251;1977;5914;5181;4314;5049;17827;6145;4814;7074;1702;3754;4310;1112;1557;4799;36;26;3816;765;157;1149;4277;725;71;20;173;53;23;11920;9026;18277;3069;9141;1155;532;179;1075;2954;732;2445;4807;320;4463;-;-;-;-;-;-;-;-;-;-
"120013 Bujari";5879;870;2191;1970;1623;1673;4724;2041;1557;2340;656;732;994;203;293;880;-;-;3912;45;91;424;545;1645;18;53;-;6;3;3204;1736;1158;281;860;186;103;-;36;6;42;67;450;15;128;-;5;-;-;-;-;-;-;6;1
"120017 Capixaba";50;958;3269;2726;1916;1620;5549;2179;1628;1652;2911;1313;1244;136;608;3050;38;34;312;131;142;558;1934;253;149;593;2;-;3;10602;5157;4536;2066;9612;380;109;203;215;70;198;630;1915;135;765;-;-;-;19;-;-;-;-;-;1
"120020 Cruzeiro do Sul";14600;6576;14718;12623;11397;12543;33356;15389;13608;17822;14075;23428;12727;2198;7701;23125;226;362;21736;2856;2435;6969;17762;6370;571;354;30;7308;754;326855;80666;31327;8771;27603;7086;3431;1218;2957;10779;2087;2384;10708;843;9721;-;2;3;5;1;1;1;-;30;6
"120025 Epitaciolândia";604;2574;6700;6082;4767;5198;18342;6671;4970;7340;13085;5697;3320;667;3913;17284;61;169;5114;737;590;1568;15167;385;94;148;42;-;13;22628;35719;13890;2590;7275;994;2265;80;1867;2;581;12046;14422;2303;9260;-;2;-;-;-;-;-;10;2;-
"120030 Feijó";34435;1592;4984;4116;2873;2928;10173;3550;2833;4805;413;5691;2879;781;1746;9039;122;73;3706;439;296;1030;18067;826;46;81;1;11;355;11325;19197;3463;2687;4576;2170;584;6;204;13;254;1456;3006;318;3146;345;10;40;27;11;16;68;15;35;251
"120032 Jordão";4182;925;2380;1935;1456;1047;3145;1385;1155;510;870;1521;752;2057;151;1039;-;1;-;-;47;9;41;40;60;25;3;461;8;5814;7734;69;4;546;-;278;12;272;2;139;665;1150;159;495;-;3;1;-;-;-;-;-;-;26
"120033 Mâncio Lima";390;1910;4486;3237;2313;2684;9577;2922;2652;3276;934;5101;2553;467;1061;6049;12;16;3856;907;255;1196;814;582;112;202;-;6;72;12870;14509;14663;2463;1229;879;1651;576;721;2025;277;2594;2978;3303;4456;-;1;-;2;-;-;-;1;-;-
"120034 Manoel Urbano";6079;1340;5039;3642;2377;2367;9838;2825;1986;2909;801;3218;833;236;923;4117;115;49;947;165;40;436;6877;288;138;73;2;-;-;14590;21959;8936;1498;7349;511;81;6;2006;15896;1461;758;2084;47;1351;-;-;-;-;-;-;-;-;-;-
"120035 Marechal Thaumaturgo";8;2812;7690;5634;4046;3928;10907;3081;1943;1833;12732;3629;1486;21;306;3204;12;7;2182;62;1110;420;211;237;192;26;40;111;15;11878;13723;2622;757;6462;127;2529;139;411;118;324;1549;2350;208;1945;-;-;-;-;-;-;-;-;-;5
"120038 Plácido de Castro";8109;2836;9807;8321;5922;5085;21321;8443;7006;9482;4563;6317;6334;924;2437;15255;415;148;6792;608;1331;3909;4119;4011;213;40;30;1;18;44384;46075;9600;4563;13273;668;927;30;255;14;560;3497;5316;1204;33118;-;4;2;2;-;2;-;-;3;1
"120080 Porto Acre";7066;1999;5007;4434;3282;3322;151898;4928;4570;6026;1948;8846;2184;1128;1270;7381;86;132;10795;104;26;505;576;859;223;1262;202;2538;6;22073;16222;17700;4343;10102;657;1122;292;1150;163;123;3806;1879;2208;3207;-;-;-;-;-;-;-;-;-;5
"120039 Porto Walter";-;1435;4325;3374;2268;1660;6918;1683;1159;931;42;2155;550;178;147;1044;36;2;143;104;57;166;71;37;182;68;6;-;-;20697;31952;669;197;11377;769;688;133;57;5;23;601;760;410;568;-;2;-;-;-;-;-;-;-;2
"120040 Rio Branco";5626;4652;12836;11258;8558;7855;29839;14588;12532;20995;13832;23154;24513;8024;16971;45368;586;556;7551;1984;1868;4808;8436;6553;111;362;8;77;414;283986;40881;38697;21223;62169;10779;16015;8900;14715;21507;2975;2853;22614;2159;21866;5;2;-;1;-;-;-;-;1;3
"120042 Rodrigues Alves";-;1534;2830;2300;1808;1868;4906;1639;1406;1284;944;3195;1893;668;1072;2721;59;1;62;45;47;1028;678;243;81;36;-;21;112;4960;3736;1556;346;1223;106;25;34;81;-;36;1072;972;99;33;-;-;-;-;-;-;-;1;-;1
"120043 Santa Rosa do Purus";151;1046;2628;2110;1407;1769;4287;1522;791;849;1130;1284;514;8;147;803;14;16;57;-;108;130;699;479;313;70;3;-;283;5640;6475;706;188;4337;53;13;124;96;6;119;1628;3086;370;2775;-;-;-;-;-;-;-;-;-;3
"120050 Sena Madureira";5251;5747;18304;13648;9856;11166;43373;12310;10767;16317;8695;15088;5178;1461;4288;22941;62;112;28706;2271;2038;5845;3302;1169;113;21;22;1;2;80030;96178;10105;7916;10593;2159;1070;25;760;501;863;2618;5625;2710;9570;-;-;-;-;-;-;-;-;-;-
"120045 Senador Guiomard";160;1114;4990;4959;3685;3056;12985;6764;7577;13818;3822;4436;4776;1573;3264;17893;57;39;1179;77;258;1151;1999;886;9;18;-;327;2;37220;15889;15730;4590;4704;2005;1795;-;7380;16638;389;5242;8158;2610;22267;-;5;-;1;-;2;-;-;1;4
"120060 Tarauacá";10514;4057;12309;9962;6667;7346;23919;7129;5390;6509;2157;11326;7028;649;2643;15023;734;116;3537;469;538;1962;6495;149;70;24;2;6;11;15105;34845;2651;6430;4568;425;805;390;1715;21;914;919;3633;1262;1744;-;7;6;1;-;-;-;6;-;41
"120070 Xapuri";589;1419;4147;3457;2671;3091;10344;3746;2971;3854;107;3555;3830;334;845;5265;222;62;1623;101;191;287;786;253;15;54;-;-;-;2952;490;7277;2390;6985;549;310;49;183;3;177;972;1555;40;2461;-;-;-;-;-;-;-;-;-;-
"130002 Alvarães";154;3862;5949;4321;4066;5790;11745;5213;4263;4371;27681;5795;1720;1482;3371;6996;153;49;12524;1651;468;2570;3116;265;243;521;78;131;1298;31931;18955;2674;3512;6529;250;2823;168;7120;4017;1126;6139;12423;3834;28434;-;5;1;6;-;1;-;-;3;42
"130006 Amaturá";1313;367;1089;745;677;734;2970;1273;810;1527;4961;2181;1216;250;923;2124;32;44;6588;1177;117;503;2604;55;931;2492;-;-;-;2954;314;4124;2793;20933;380;504;402;607;1212;97;714;11189;855;2620;-;-;1;-;-;-;-;-;-;33
"130008 Anamã";-;2736;6823;4792;2931;3895;10709;3380;2407;3789;9742;3854;590;5969;1818;4062;140;107;693;246;454;712;263;369;174;176;-;-;-;47406;5649;4275;862;3528;324;1430;216;8817;522;485;7317;24366;750;14318;-;-;-;-;-;-;-;-;-;1
"130010 Anori";15;2029;6021;3981;3066;2897;9770;2990;2047;2421;7724;5888;2457;336;3129;5268;28;98;8536;711;1608;994;1303;681;97;53;155;1;36;26772;39;612;504;1075;27;378;86;230;249230;132;1726;3651;13;844;-;-;-;-;-;-;-;-;-;-
"130014 Apuí";25545;3123;8325;6786;6582;8242;25428;10333;9079;9565;28843;7155;3003;355;4433;16446;446;286;26693;1827;473;2425;9825;170;323;236;26;38549;3633;92117;24016;19043;4879;33863;2876;3022;362;10060;14754;581;1750;11536;1802;2045;-;5;1;4;-;-;-;38;-;-
"130020 Atalaia do Norte";28;1725;3207;3331;3512;3604;4230;3146;2522;1894;766;3783;420;132;1074;5670;63;151;15998;2162;416;4142;95;-;1151;11577;90;-;1153;14633;-;11870;11223;15026;723;3774;986;329;36303;290;1798;4655;3;6117;-;-;-;-;-;-;-;-;-;-
