 Sistema de Informação de Atenção Básica - Produção e Marcadores - Brasil
Cons.Res.ForaÁreaCons.<1 anoCons.1a4anosCons.5a9anosCons.10a14anosCons.15a19anosCons.20a39anosCons.40a49anosCons.50a59anosCons.60 e maisAtend.PuericulturaAtend.Pré-NatalAtend Prev-citologAtend.DST/AIDSAtend.DiabetesAtend.Hiper.Arter.Atend.HanseníaseAtend.TuberculoseEx.Patologia Clín.Ex.RadiodiagnósticEx.CitopatológicoEx.UltrassonografEx.OutrosEncam.Atend.Espec.Encam.Int.HospitalEncam.Urg./EmergIntern.DomiciliarAtend.Espec.AcTrabVis.Insp.SanitáriaAtend.Indiv.EnfermAtend.Ind.Prof.NS.CurativosInalaçõesInjeçõesRetirada de pontosTerap.Reid.OralSuturaAtend.GrupoProc.Coletiv(PC1)ReuniõesVisita MédicoVisita Enferm.Vis Outr.Prof.NS.Vis Prof.Niv.MédioValvul.Reum.5-14a.AVCInfartoDHEG(Forma Grave)DoençaHemol.Perin.FraturaColoFêmurMening.TuberculosaHans.Grau II e IIICit.Oncot NIC IIIPneum. <5 anos por Município
Período:2013-2015
"Município";"Cons.Res.ForaÁrea";"Cons.<1_ano";"Cons.1a4anos";"Cons.5a9anos";"Cons.10a14anos";"Cons.15a19anos";"Cons.20a39anos";"Cons.40a49anos";"Cons.50a59anos";"Cons.60_e_mais";"Atend.Puericultura";"Atend.Pré-Natal";"Atend_Prev-citolog";"Atend.DST/AIDS";"Atend.Diabetes";"Atend.Hiper.Arter.";"Atend.Hanseníase";"Atend.Tuberculose";"Ex.Patologia_Clín.";"Ex.Radiodiagnóstic";"Ex.Citopatológico";"Ex.Ultrassonograf";"Ex.Outros";"Encam.Atend.Espec.";"Encam.Int.Hospital";"Encam.Urg./Emerg";"Intern.Domiciliar";"Atend.Espec.AcTrab";"Vis.Insp.Sanitária";"Atend.Indiv.Enferm";"Atend.Ind.Prof.NS.";"Curativos";"Inalações";"Injeções";"Retirada_de_pontos";"Terap.Reid.Oral";"Sutura";"Atend.Grupo";"Proc.Coletiv(PC1)";"Reuniões";"Visita_Médico";"Visita_Enferm.";"Vis_Outr.Prof.NS.";"Vis_Prof.Niv.Médio";"Valvul.Reum.5-14a.";"AVC";"Infarto";"DHEG(Forma_Grave)";"DoençaHemol.Perin.";"FraturaColoFêmur";"Mening.Tuberculosa";"Hans.Grau_II_e_III";"Cit.Oncot_NIC_III";"Pneum._<5_anos"
"110009 Espigão D'Oeste";1;287;1261;1892;1613;1812;7771;4719;4474;6486;182;539;2345;236;961;3222;80;6;9808;1099;988;310;8770;2167;74;65;8;1186;113;5067;361;508;205;290;90;18;2;523;310;119;546;601;57;525;-;10;3;1;-;-;-;-;2;-
"110100 Governador Jorge Teixeira";3;626;1271;1370;1321;1624;6250;3039;2632;3425;2467;1743;916;477;1048;3986;15;22;655;73;148;157;551;81;6;16;2;7;15;5862;52;1147;591;9978;140;268;146;110;8;95;1041;811;52;1260;-;-;1;-;-;-;-;-;-;-
"110010 Guajará-Mirim";659;1531;4089;4317;4946;5853;18662;9063;9243;19897;7128;7623;3555;396;5018;12890;239;67;73974;3221;1002;4525;27307;2812;141;603;89;-;7364;15350;3679;1130;150;3199;331;292;385;9128;409;520;2944;2662;5774;19308;6;1;1;-;-;2;-;-;9;2
"110110 Itapuã do Oeste";-;208;529;476;479;575;1601;930;743;930;1916;1044;543;448;577;878;21;41;666;-;7;63;48;61;-;4;-;-;-;3119;6151;340;-;-;-;-;-;-;-;20;224;126;11;478;-;-;-;-;-;-;-;-;-;-
"110011 Jaru";24287;2030;7309;7686;5693;6685;29197;15415;14534;20096;8039;12261;4914;838;7124;18324;185;22;436039;1746;2993;2535;8857;4792;504;7169;-;356;450;36554;42925;6599;2109;17851;2172;653;49;1295;147;360;5799;5910;10401;20188;-;1;3;-;3;4;1;3;4;52
"110012 Ji-Paraná";55565;2109;5233;6811;6294;6769;25918;19621;22133;35282;9808;28855;19077;3992;15736;48809;1077;361;78625;9143;4647;7413;30491;12919;662;1009;125;137;4167;115223;55580;20940;5725;6985;9815;1484;183;5882;6327;2470;10294;11290;5753;10324;22;43;31;10;-;14;1;26;12;24
"110013 Machadinho D'Oeste";14428;1575;3314;3571;3106;3347;13326;7174;8383;10514;4744;6518;4317;3753;4165;17054;628;127;33370;1884;1505;1089;3083;2663;131;793;8;4;3129;13582;3635;20737;1585;19585;2615;723;243;556;528;344;1731;1647;68;1458;-;1;-;-;-;-;1;26;5;10
"110120 Ministro Andreazza";50;366;922;1146;1228;1655;5492;4180;4141;150545;269;3498;1442;732;1935;7047;110;87;2018;170;1272;610;576;220;7;10;-;858;41;2167;7391;1368;17;88;56;28;1;533;373;300;3521;5735;461;4495;2;-;-;-;-;-;-;1;-;2
"110130 Mirante da Serra";18;242;1202;1435;1691;1961;7505;3893;4114;5916;2340;2832;1446;1174;2453;5676;629;23;12039;904;1150;845;2151;1040;73;97;6;24;-;3366;123;379;8;193;3;133;-;142;54;114;202;459;5;676;1;4;2;1;-;1;-;13;1;7
"110140 Monte Negro";166;226;721;760;644;675;3193;1915;1804;2705;325;645;293;198;2210;5192;557;30;5434;250;287;159;5892;468;53;59;2;-;-;8789;6134;2586;11;1442;629;282;6;191;39;108;422;672;17;428;-;6;6;-;-;-;-;-;-;2
"110014 Nova Brasilândia D'Oeste";46;687;1940;2310;2081;2550;10722;6020;5919;6568;2281;3111;4597;1109;3696;11508;718;131;4756;728;358;460;4792;712;63;156;8;3;-;13103;416;597;13;196;18;11;1;228;127;275;1241;2308;722;96772;-;-;-;-;-;-;-;1;1;2
"110033 Nova Mamoré";102;853;2583;2277;1824;2064;8689;3641;3304;3591;539;4319;1635;936;980;2933;57;4;546;178;46;781;2415;249;53;90;10;-;113;11818;1118;797;49;1307;129;13;128;71;-;155;789;789;4;62;-;-;-;-;-;-;-;3;-;-
"110143 Nova União";1294;239;1116;1222;1251;1550;4861;3046;2214;3241;464;1240;421;226;1026;3993;195;301;2095;751;553;448;1859;80;442;82;-;-;-;1276;379;173;227;1481;233;272;309;212;-;36;1078;2343;66;2771;-;38;2;-;-;3;-;-;-;56
"110050 Novo Horizonte do Oeste";-;313;590;765;659;960;4225;2402;2127;2529;747;1345;2554;44;734;1833;1019;1;6791;477;1076;594;3754;2091;385;371;-;-;29;7821;3942;3443;169;4188;272;92;146;656;15;163;223;357;51;4740;-;-;-;-;-;-;-;3;-;-
"110015 Ouro Preto do Oeste";9599;344;774;1040;1215;1572;5857;4403;4698;8379;892;6266;4318;282;2237;8366;544;109;8958;2409;586;853;6242;1477;321;220;8;-;158;17675;1353;768;64;2218;273;35;178;1526;780;234;2310;1282;138;3827;1;6;-;-;-;3;-;3;1;4
"110145 Parecis";76;405;1099;969;834;1105;4462;2469;2029;2319;1017;1481;952;65;933;5588;113;13;4233;666;562;531;1525;368;192;337;4;-;583;7581;7388;280;90;353;144;59;41;90;25;89;458;884;47;410;7;6;1;-;1;1;1;20;6;4
"110018 Pimenta Bueno";5;2157;2504;2531;2409;3572;14924;8206;8875;13534;5975;6767;5104;686;3391;12635;382;118;13013;2285;2477;2043;8419;3653;108;132;37;3206;228;28768;16211;4844;1210;1190;1630;352;38;12788;8696;444;4599;4448;512;5108;-;4;15;2;-;4;-;1;1;13
"110146 Pimenteiras do Oeste";-;88;278;430;404;369;1654;562;572;410;12;138;101;33;92;521;6;5;-;-;-;-;-;-;26;13;-;-;121;377;-;375;186;833;46;73;50;18;-;19;128;225;878;15;-;-;-;-;-;-;-;-;-;-
"110020 Porto Velho";72003;19851;41861;48586;39638;398359;146958;77208;77845;95741;113407;95023;50147;8262;60724;138267;1390;4396;291862;45487;30725;31482;69621;50203;852;11988;1439;8533;57792;395262;334316;99377;32503;191114;43712;17842;3354;144618;263218;6057;18197;18938;7979;24985;11;127;54;46;-;17;2;1130;89;116
"110025 Presidente Médici";1944;1328;3297;3097;2670;2531;12876;7400;8180;13313;7071;3812;5048;314;5164;21504;36;617;14846;1065;2377;818;3272;1959;127;131;-;31;421;42068;10151;5106;1194;16409;1257;291;333;5298;14643;981;7555;7873;1144;7948;-;-;-;-;-;-;-;-;-;-
"110147 Primavera de Rondônia";1425;137;306;331;386;392;1592;815;705;959;313;479;504;10;533;1419;6;6;-;38;8;109;-;62;29;46;-;-;-;3526;207;1610;1774;4841;158;16;22;11;2581;40;192;537;13;1186;-;-;-;-;-;-;-;-;-;3
"110026 Rio Crespo";17;352;1226;1008;721;909;3215;1589;1464;2223;1382;694;513;48;404;1915;59;-;412;107;365;105;57;80;21;43;-;-;2;2232;169;366;136;1750;74;38;108;19;-;42;194;117;-;20;-;-;-;-;-;3;-;-;-;-
"110028 Rolim de Moura";1683;1447;2829;3407;3716;5920;24332;14024;14499;156050;7177;13759;7547;329;9180;22797;2702;242;36615;2620;2507;5469;17198;12367;567;902;48;-;91;41392;5734;13060;2769;10177;2958;43;41;11239;3206;1256;4646;3201;215;5879;-;9;5;-;-;1;-;176;5;4
"110029 Santa Luzia D'Oeste";-;563;1528;1866;2100;2581;4870;4568;4440;4338;392;1785;2086;403;1615;3737;271;16;2156;196;628;691;314;302;51;11;2;6;2;4436;72;92;-;-;39;7;-;54;10;95;2363;1577;-;3372;-;-;-;-;-;-;-;9;2;-
"110148 São Felipe D'Oeste";906;607;868;441;825;1147;4877;2982;3098;5285;9;437;1473;256;217;1070;11;2;1499;95;487;49;2797;382;286;428;5;26557;-;1956;6971;2689;1516;22972;252;104;2;-;-;-;-;-;124;154;-;-;-;-;-;-;-;-;-;-
"110149 São Francisco do Guaporé";779;1395;3729;4109;4174;4999;18000;9832;8519;9725;1582;5901;4278;581;7629;11285;263;32;40467;1744;2320;1384;1802;3477;646;545;15;11;1322;9590;3281;3189;1065;3992;934;571;39;1112;278;607;2289;2189;832;2640;-;1;4;2;-;2;-;3;-;-
"110032 São Miguel do Guaporé";802;1397;2519;2460;2482;3099;8094;4869;4538;5116;2529;3603;2975;421;1953;6533;387;25;4149;1286;1044;1086;12921;1546;330;232;9;271;3252;11134;11989;2972;1353;4330;734;443;612;193;121;260;329;156;6;90;-;-;-;-;-;-;-;-;-;-
"110150 Seringueiras";316;621;1174;1347;1399;1897;5640;3082;3287;3425;870;2629;4412;100;1983;7972;132;23;9029;1164;155;1186;196;778;112;170;-;40;131;7631;3108;3412;827;14450;900;106;811;112;84;229;874;1006;121;1619;-;3;2;-;-;-;-;-;4;-
"110155 Teixeirópolis";709;158;374;229;155;227;927;809;1067;2155;1307;1114;621;28;1290;5770;273;14;1164;526;52;64;1018;314;31;123;8;-;6;4357;5980;994;12;594;9;1;5;353;4371;88;420;614;-;2201;-;1;-;-;-;-;-;-;2;1
"110160 Theobroma";38;550;1226;1393;1530;1738;4982;3363;3006;2982;2068;1870;1368;383;2484;9027;65;12;6974;1016;907;915;1340;1084;309;894;13;-;3;10559;299;2110;542;7490;443;262;338;78;11;179;177;301;93;2810;6;2;1;-;-;1;-;1;3;2
"110170 Urupá";135;77;222;265;240;327;930;684;769;677;373;1568;788;1618;1176;3615;241;34;146;211;245;92;1143;24;7;1;-;-;1;4278;24;139;11;66;24;35;-;67;44;43;95;306;9;56;-;-;-;-;-;-;-;-;-;-
"110175 Vale do Anari";7;136;424;646;599;686;2739;1431;1361;979;776;1746;843;514;1437;4374;42;37;1899;62;131;190;110;225;66;78;6;31;78;4681;28;1361;1242;7586;582;240;497;130;2;82;117;543;12;1970;-;-;-;-;-;-;-;-;-;-
"110180 Vale do Paraíso";170;199;606;674;877;1134;3143;2019;1913;2010;320;1235;1201;31;1559;8023;17;12;210;81;1108;411;5171;37;92;42;-;-;35;8991;363;827;166;943;150;104;44;104;2;117;1578;4193;2;3918;-;-;-;-;-;-;-;-;-;-
"110030 Vilhena";1008;2092;4808;4940;4119;6194;20470;13792;13247;155992;18896;10337;3912;756;5759;14107;396;80;24060;5632;2934;4143;9568;7601;487;849;-;-;101;33915;23310;10429;2182;2322;3166;68;12;1322;936;788;5681;4389;174;8768;-;1;3;-;-;1;-;20;-;2
"120001 Acrelândia";1498;1171;3275;3263;2622;2655;9945;4603;3789;4606;985;3990;3160;805;3594;8687;116;9;6334;1005;902;1833;2332;1704;210;242;4;126;255;15781;1710;3975;1995;4015;373;2573;209;354;146;440;747;1081;135;778;6;25;13;4;1;8;-;3;13;40
"120005 Assis Brasil";2691;933;3353;2400;1591;1543;6611;2043;1579;1849;1647;1735;5812;230;662;3039;36;21;719;449;423;577;897;1034;28;57;6;2;149;6781;2730;679;1721;4299;157;1664;22;31;3;60;656;573;251;515;-;4;1;-;-;-;12;1;2;-
"120010 Brasiléia";132;1299;3869;3412;2821;3218;12873;4779;3513;5255;1530;2094;2236;355;1357;3744;4;10;2328;502;229;619;1811;840;43;66;33;5;36;6266;1571;10547;1915;4093;710;776;87;272;14;225;1725;2506;74;2189;-;-;-;-;-;-;-;-;-;-
"120013 Bujari";6101;1361;4809;4082;2934;3368;12258;4653;3832;8643;1901;3387;2352;422;1236;3472;78;49;2322;380;706;1054;2151;1518;1;160;1;2;1;8851;7351;3353;990;3923;414;236;32;35;30;82;285;298;35;466;5;24;-;2;-;-;-;16;6;-
"120017 Capixaba";204;821;2878;2469;1914;1885;6169;3208;2665;3086;3655;2046;1295;409;1246;4207;3;8;1113;276;49;233;13262;286;2;562;30;-;5;9819;1487;4612;1582;13847;912;54;93;46;15;90;345;305;4;178;-;-;-;-;-;-;-;-;-;-
"120020 Cruzeiro do Sul";19848;7696;20883;19978;17313;17732;48215;21204;18295;25984;16846;31160;13984;3016;6319;23150;146;207;48324;4415;1633;2187;22352;10631;423;562;174;9777;206;72866;30584;47830;13467;39875;11616;5149;182;2631;37082;2283;4378;7078;722;7532;-;-;1;2;-;3;-;1;5;-
"120025 Epitaciolândia";115;2001;5141;4053;3472;3740;13390;5807;4221;6160;8811;2910;1575;521;2191;11366;47;32;1692;509;235;1944;10824;273;31;2422;12;-;23;22362;8005;9077;4177;11893;724;789;272;755;18;304;3332;5732;584;7040;-;-;-;-;-;-;-;-;-;-
"120030 Feijó";4511;168;521;457;340;288;1255;462;290;381;5;766;325;119;172;823;2;1;292;98;36;365;2590;43;1;4;-;-;5;1553;3196;352;140;564;150;20;-;3;-;43;26;290;4;55;-;1;-;2;-;-;-;-;-;1
"120032 Jordão";3112;939;2740;2177;1652;1791;6560;1646;1225;1124;926;1704;410;464;451;2803;2;-;-;-;100;715;675;8;6;-;3;2500;-;8054;4167;475;204;1067;36;1;14;24;2;49;315;699;75;273;-;1;-;-;-;-;-;-;-;-
"120033 Mâncio Lima";1812;360;1056;1026;784;729;2980;1166;953;1036;796;2895;1751;573;617;2637;15;20;1469;189;175;404;533;296;13;12;-;-;9;11062;2006;6020;1094;1150;454;540;1;1241;104;284;398;2143;291;2434;-;1;-;-;-;-;-;-;-;-
"120034 Manoel Urbano";368;1020;3220;2457;1655;1882;6671;1995;1425;2058;332;3137;433;57;997;3017;36;31;1003;767;35;676;2503;377;139;52;2;-;-;11642;15957;1210;463;3573;123;10;-;7;-;3;377;552;34;195;-;-;-;-;-;-;-;-;-;-
"120035 Marechal Thaumaturgo";1883;1850;6269;5893;3830;3160;12152;3337;2332;2275;2079;4339;1015;140;581;2568;74;35;720;58;603;1960;1301;136;212;200;-;-;74;6963;377;1207;870;5770;128;1123;76;146;67;181;1185;1892;161;1168;-;-;-;-;-;-;-;-;-;-
"120038 Plácido de Castro";7312;2611;8214;6351;5188;5543;19917;9408;8399;12128;8076;6714;5527;712;3540;17705;140;243;2711;476;2195;2239;4479;2959;220;272;158;-;17;37599;3165;10162;2085;12278;1083;871;98;1609;642;681;2500;4031;774;37890;-;3;1;-;-;-;-;-;7;-
"120080 Porto Acre";5622;1388;3918;3422;2962;3281;7266;3907;3930;4807;3046;3432;2096;791;866;3385;11;297;7505;210;517;803;916;1358;220;847;21;119;175;9983;9692;12182;2351;6579;1279;131;100;68;24;95;449;463;401;1453;-;-;-;-;-;1;-;-;-;1
"120039 Porto Walter";-;1412;4441;3647;2640;2108;7759;2171;1467;1333;1534;2739;554;292;265;1413;10;-;286;350;5;169;97;167;55;70;-;-;1;19005;8171;2423;1050;6236;648;743;258;113;-;72;366;2014;-;81;-;-;-;-;-;-;-;-;-;-
"120040 Rio Branco";13892;6912;18609;16227;12522;12455;47401;23069;21061;31896;17534;22263;21561;7295;19573;46976;969;882;22926;4060;3045;4548;20365;12379;134;673;52;65;792;236388;19384;46821;12717;60559;13213;10941;201;10258;6657;2899;8345;12797;838;18012;-;19;4;-;-;1;-;15;8;4
"120042 Rodrigues Alves";-;629;1914;1805;1338;1063;4282;1705;1008;1505;1985;3190;606;222;731;2991;107;79;667;101;18;694;570;186;1;2;-;-;1;11558;460;323;60;322;168;112;3;607;4;140;1189;617;-;13;-;-;-;-;-;-;-;-;-;-
"120043 Santa Rosa do Purus";-;932;2710;1401;862;837;3020;1349;595;670;836;991;112;1015;467;1260;-;11;5;6;3;1;1576;219;13;84;-;-;867;5460;5789;675;1200;4839;46;306;61;36;-;54;433;1329;188;1410;-;-;-;-;-;-;-;-;-;-
"120050 Sena Madureira";849;3115;9461;9267;6663;7305;26834;9243;7553;11451;2387;10153;5338;1160;4242;25611;18;22;25505;1395;490;1756;6402;2024;168;27;1;198;1;36193;32545;10203;6061;11047;2637;1504;8;2337;33;358;1531;2306;1605;1746;-;-;-;-;-;-;-;-;-;-
"120045 Senador Guiomard";26;269;1744;2161;1813;1425;6791;4268;5290;11023;418;3562;3579;351;1611;9413;121;11;502;1;129;1178;1639;372;-;2;-;27;-;21118;8351;12511;1465;2822;1544;1608;40;791;469;213;4894;4892;297;5288;-;4;-;-;-;1;-;-;3;1
"120060 Tarauacá";1925;2789;8254;6816;5049;5618;17302;5532;4511;4836;2746;6510;3561;843;2427;8588;286;85;2448;277;306;1580;3375;242;69;51;-;-;7;12813;15603;1743;6023;4469;416;711;217;500;52;470;918;1268;809;1480;-;5;1;5;-;-;-;2;1;35
"120070 Xapuri";2;1150;3268;3065;2304;2782;9809;3612;2667;4049;699;4074;2012;319;3956;9064;65;8;1021;444;509;957;2196;388;50;36;-;-;2;5403;2024;6265;1626;4775;448;77;184;656;41;134;920;594;78;704;-;-;-;-;-;-;-;-;-;-
"130002 Alvarães";3;1749;3943;2578;1916;2764;7963;2488;2266;2963;6772;4384;2365;503;2300;4860;47;58;22825;522;556;1348;2441;245;55;63;18;747;3926;21096;15758;5668;5038;9996;332;3792;33;7116;2561;755;4095;8301;2423;43858;-;-;1;-;-;-;-;-;-;1
"130006 Amaturá";646;602;1773;1333;1030;1409;4867;1757;1135;1781;4375;1869;680;2;362;1126;-;10;1199;302;35;1289;4831;51;153;191;-;-;-;-;-;2424;3099;10057;237;234;77;64;45;208;-;11260;100;-;-;-;-;-;-;-;-;-;-;-
"130008 Anamã";65;855;1948;1718;1554;2168;6945;2002;1653;1835;3202;2641;1681;4728;1516;3644;29;47;-;-;40;11;-;-;-;-;-;-;1737;21590;392;1622;1000;2013;213;1070;178;613;138;394;4142;12706;313;10773;-;-;-;-;-;-;-;-;-;-
"130010 Anori";3;2057;5507;4269;3143;3392;10621;4429;2758;3249;6779;4738;2047;243;2921;6184;42;43;7600;475;854;544;1523;250;92;58;77;-;-;24411;400;903;185;1114;101;208;114;236;67291;175;1078;2660;60;901;-;-;-;-;-;-;-;-;-;-
"130014 Apuí";10108;2150;4507;4668;4001;5395;12073;5816;5555;6796;13658;5806;3290;387;4258;16181;258;271;5597;367;204;907;6158;71;40;81;10;35188;2;82121;26382;12341;2062;20411;1897;423;222;34239;53;496;569;3054;577;209;-;-;-;-;-;-;-;2;-;5
"130020 Atalaia do Norte";345;1877;1956;1983;1980;2340;2688;2451;2184;1825;1367;3660;496;3368;2307;3810;355;361;6646;942;282;2641;3011;25;31;4;-;-;237;3298;257;90;7;327;60;371;-;105;26;65;1141;3290;1108;3863;-;-;-;-;-;-;-;4;-;-
"130030 Autazes";19892;4833;12609;7055;8040;6065;19770;9767;8699;10276;27054;11509;3843;435;7437;19817;180;274;27298;3273;3952;3291;3701;1906;534;1607;264;257;1590;71723;34115;13883;8615;33753;3503;4793;2420;4835;6743;2630;6059;8508;7980;10033;-;13;2;1;-;-;-;2;-;1
